(numpy.datetime64('2023-10-19T00:00:00.000000000'), 4.45667, 4.46559, 4.44134, 4.4556, 'Thursday', 'Thu', 'October', 'Oct', 4.4548, nan, nan, nan, True),
(numpy.datetime64('2023-10-18T00:00:00.000000000'), 4.42235, 4.45964, 4.41999, 4.45613, 'Wednesday', 'Wed', 'October', 'Oct', 4.4395275000000005, nan, nan, nan, True),
(numpy.datetime64('2023-10-17T00:00:00.000000000'), 4.45172, 4.46113, 4.40971, 4.42284, 'Tuesday', 'Tue', 'October', 'Oct', 4.43635, nan, nan, nan, True),
(numpy.datetime64('2023-10-16T00:00:00.000000000'), 4.46886, 4.50571, 4.44291, 4.45322, 'Monday', 'Mon', 'October', 'Oct', 4.467675, nan, nan, nan, True),
(numpy.datetime64('2023-10-13T00:00:00.000000000'), 4.53803, 4.55326, 4.51969, 4.53296, 'Friday', 'Fri', 'October', 'Oct', 4.535985, nan, nan, nan, True),
(numpy.datetime64('2023-10-12T00:00:00.000000000'), 4.52778, 4.54114, 4.5204, 4.5357, 'Thursday', 'Thu', 'October', 'Oct', 4.531255, nan, nan, nan, True),
(numpy.datetime64('2023-10-11T00:00:00.000000000'), 4.5359, 4.54176, 4.5127, 4.52735, 'Wednesday', 'Wed', 'October', 'Oct', 4.529427500000001, nan, nan, nan, True),
(numpy.datetime64('2023-10-10T00:00:00.000000000'), 4.56547, 4.57074, 4.53285, 4.53721, 'Tuesday', 'Tue', 'October', 'Oct', 4.5515675, nan, nan, nan, True),
(numpy.datetime64('2023-10-09T00:00:00.000000000'), 4.57909, 4.58894, 4.5572, 4.56548, 'Monday', 'Mon', 'October', 'Oct', 4.5726775, nan, nan, nan, True),
(numpy.datetime64('2023-10-06T00:00:00.000000000'), 4.60093, 4.60738, 4.57417, 4.57639, 'Friday', 'Fri', 'October', 'Oct', 4.5897175, nan, nan, nan, True),
(numpy.datetime64('2023-10-05T00:00:00.000000000'), 4.60481, 4.61119, 4.58544, 4.60014, 'Thursday', 'Thu', 'October', 'Oct', 4.600395, nan, nan, nan, True),
(numpy.datetime64('2023-10-04T00:00:00.000000000'), 4.62651, 4.64947, 4.59083, 4.6046, 'Wednesday', 'Wed', 'October', 'Oct', 4.6178525, nan, nan, nan, True),
(numpy.datetime64('2023-10-03T00:00:00.000000000'), 4.61511, 4.63353, 4.60735, 4.62717, 'Tuesday', 'Tue', 'October', 'Oct', 4.6207899999999995, nan, nan, nan, True),
(numpy.datetime64('2023-10-02T00:00:00.000000000'), 4.61861, 4.62674, 4.60474, 4.61524, 'Monday', 'Mon', 'October', 'Oct', 4.6163325, nan, nan, nan, True),
(numpy.datetime64('2023-09-29T00:00:00.000000000'), 4.63752, 4.64175, 4.61662, 4.61787, 'Friday', 'Fri', 'September', 'Sep', 4.62844, nan, nan, nan, True),
(numpy.datetime64('2023-09-28T00:00:00.000000000'), 4.63295, 4.64402, 4.62003, 4.6377, 'Thursday', 'Thu', 'September', 'Sep', 4.633675, nan, nan, nan, True),
(numpy.datetime64('2023-09-27T00:00:00.000000000'), 4.60519, 4.64046, 4.59049, 4.63325, 'Wednesday', 'Wed', 'September', 'Sep', 4.6173475, nan, nan, nan, True),
